Survey round,One year ahead,Two years ahead,Longer term (five years ahead),RW1y,RW2y,RW5y,RT data
2006 Q1,1.8,1.8,1.8,2.1,1.6,2.6,2.2
2006 Q2,1.7,1.9,1.8,2.1,2.4,3,2.5
2006 Q3,1.8,1.8,1.8,2.5,2.2,2.5,1.8
2006 Q4,1.9,1.8,1.9,2.2,2.3,2,1.9
2007 Q1,2.1,1.8,1.9,2.2,2.1,2.5,1.9
2007 Q2,2.1,1.8,1.9,2.5,2.1,1.7,1.9
2007 Q3,2.1,1.8,1.9,1.8,2.5,2.2,2.1
2007 Q4,2,1.9,1.9,1.9,2.2,2.2,3.1
2008 Q1,2,1.9,1.9,1.9,2.2,2.4,3.5
2008 Q2,2,1.9,1.9,1.9,2.5,2,4
2008 Q3,2,1.9,1.9,2.1,1.8,2.1,3.6
2008 Q4,2,1.9,1.9,3.1,1.9,2.1,1.6
2009 Q1,2.1,1.9,1.9,3.5,1.9,1.6,0.6
2009 Q2,2.4,2,1.9,4,1.9,2.4,-0.1
2009 Q3,1.9,1.9,1.9,3.6,2.1,2.2,-0.3
2009 Q4,1.4,2,1.9,1.6,3.1,2.3,0.9
2010 Q1,1.2,2,1.9,0.6,3.5,2.1,1.5
2010 Q2,1.2,2.1,1.9,-0.1,4,2.1,1.4
2010 Q3,1.3,2,1.9,-0.3,3.6,2.5,1.8
2010 Q4,1.4,1.7,1.9,0.9,1.6,2.2,2.2
2011 Q1,1.4,1.6,1.9,1.5,0.6,2.2,2.6
2011 Q2,1.5,1.6,1.9,1.4,-0.1,2.5,2.7
2011 Q3,1.5,1.7,1.9,1.8,-0.3,1.8,3
2011 Q4,1.8,1.6,1.9,2.2,0.9,1.9,2.8
2012 Q1,1.9,1.7,1.9,2.6,1.5,1.9,2.6
2012 Q2,1.9,1.7,2,2.7,1.4,1.9,2.4
2012 Q3,1.6,1.7,1.9,3,1.8,2.1,2.7
2012 Q4,1.7,1.8,2,2.8,2.2,3.1,2.2
2013 Q1,1.8,1.9,1.9,2.6,2.6,3.5,1.7
2013 Q2,1.8,1.9,2,2.4,2.7,4,1.6
2013 Q3,1.9,1.8,2,2.7,3,3.6,1.1
2013 Q4,1.7,1.7,1.9,2.2,2.8,1.6,0.8
2014 Q1,1.6,1.8,1.9,1.7,2.6,0.6,0.5
2014 Q2,1.5,1.9,2,1.6,2.4,-0.1,0.5
2014 Q3,1.5,1.9,1.9,1.1,2.7,-0.3,0.3
2014 Q4,1.3,1.8,1.9,0.8,2.2,0.9,-0.2
2015 Q1,1.2,1.8,1.9,0.5,1.7,1.5,-0.1
2015 Q2,1.2,1.7,2,0.5,1.6,1.4,0.2
2015 Q3,1.1,1.7,1.9,0.3,1.1,1.8,-0.1
2015 Q4,0.8,1.5,2,-0.2,0.8,2.2,0.2
2016 Q1,1,1.4,2,-0.1,0.5,2.6,0
2016 Q2,1.2,1.5,2,0.2,0.5,2.7,0.1
2016 Q3,1.1,1.4,2,-0.1,0.3,3,0.4
2016 Q4,1.2,1.2,2,0.2,-0.2,2.8,1.1
